date,party,n,aggressive,inflammatory,discriminatory
2008-10-07,Dem,710,48,12,2
2008-10-07,Rep,796,50,18,4
2008-10-15,Dem,748,54,24,0
2008-10-15,Rep,832,66,18,4
2012-10-03,Dem,720,62,12,6
2012-10-03,Rep,1098,64,2,2
2012-10-11,Dem,1022,48,8,6
2012-10-11,Rep,1160,78,16,4
2012-10-16,Dem,920,68,4,4
2012-10-16,Rep,1090,78,8,4
2012-10-22,Dem,778,68,16,2
2012-10-22,Rep,1074,76,8,4
2016-09-26,Dem,848,66,12,4
2016-09-26,Rep,1428,90,42,8
2016-10-04,Dem,1154,64,30,14
2016-10-04,Rep,986,84,30,22
2016-10-09,Dem,706,54,10,6
2016-10-09,Rep,1240,86,76,4
2016-10-19,Dem,860,68,22,8
2016-10-19,Rep,1184,64,66,34
2020-09-29,Dem,1258,36,16,12
2020-09-29,Rep,1612,48,52,4
2020-10-22,Dem,998,28,26,10
2020-10-22,Rep,1324,40,42,4
