date,speaker,party,sentence
2020-10-22,TRUMP,Rep,"So, as you know, 2.2 million people, modeled out, were expected to die."
2020-10-22,TRUMP,Rep,We closed up the greatest economy in the world in order to fight this horrible disease that came from China.
2020-10-22,TRUMP,Rep,It’s a worldwide pandemic.
2020-10-22,TRUMP,Rep,It’s all over the world.
2020-10-22,TRUMP,Rep,You see the spikes in Europe and many other places right now.
2020-10-22,TRUMP,Rep,"If you notice, the mortality rate is down, 85%."
2020-10-22,TRUMP,Rep,"The excess mortality rate is way down, and much lower than almost any other country."
2020-10-22,TRUMP,Rep,And we’re fighting it and we’re fighting it hard.
2020-10-22,TRUMP,Rep,There is a spike.
2020-10-22,TRUMP,Rep,"There was a spike in Florida, and it’s now gone."
2020-10-22,TRUMP,Rep,"There was a very big spike in Texas, it’s now gone."
2020-10-22,TRUMP,Rep,"There was a very big spike in Arizona, it’s now gone."
2020-10-22,TRUMP,Rep,And there were some spikes and surges in other places.
2020-10-22,TRUMP,Rep,They will soon be gone.
2020-10-22,TRUMP,Rep,"We have a vaccine that’s coming, it’s ready."
2020-10-22,TRUMP,Rep,"It’s going to be announced within weeks, and it’s going to be delivered."
2020-10-22,TRUMP,Rep,"We have Operation Warp Speed, which is the military, is going to distribute the vaccine."
2020-10-22,TRUMP,Rep,"I can tell you from personal experience that I was in the hospital, I had it."
2020-10-22,TRUMP,Rep,"And I got better and I will tell you that I had something that they gave me — a therapeutic, I guess they would call it."
2020-10-22,TRUMP,Rep,Some people could say it was a cure.
2020-10-22,TRUMP,Rep,But I was in for a short period of time and I got better very fast or I wouldn’t be here tonight.
2020-10-22,TRUMP,Rep,And now they say I’m immune.
2020-10-22,TRUMP,Rep,"Whether it’s four months or a lifetime, nobody’s been able to say that, but I’m immune."
2020-10-22,TRUMP,Rep,More and more people are getting better.
2020-10-22,TRUMP,Rep,We have a problem that’s a worldwide problem.
2020-10-22,TRUMP,Rep,"This is a worldwide problem, but I’ve been congratulated by the heads of many countries on what we’ve been able to do with the — if you take a look at what we’ve done in terms of goggles and masks and gowns and everything else, and in particular, ventilators."
2020-10-22,TRUMP,Rep,We’re now making ventilators.
2020-10-22,TRUMP,Rep,"All over the world, thousands and thousands a month, distributing them all over the world, it will go away and as I say, we’re rounding the turn, we’re rounding the corner, it’s going away."
2020-10-22,BIDEN,Dem,"220,000 Americans dead."
2020-10-22,BIDEN,Dem,"If you hear nothing else I say tonight, hear this."
2020-10-22,BIDEN,Dem,"Anyone who’s responsible for not taking control — in fact, not saying, I take no responsibility, initially — anyone who is responsible for that many deaths should not remain as President of the United States of America."
2020-10-22,BIDEN,Dem,"We’re in a situation where there are thousands of deaths a day, a thousand deaths a day."
2020-10-22,BIDEN,Dem,"And there are over 70,000 new cases per day."
2020-10-22,BIDEN,Dem,"Compared to what’s going on in Europe, as the New England Medical Journal said, they’re starting from a very low rate."
2020-10-22,BIDEN,Dem,We’re starting from a very high rate.
2020-10-22,BIDEN,Dem,"The expectation is we’ll have another 200,000 Americans dead by the time, between now and the end of the year."
2020-10-22,BIDEN,Dem,"If we just wore these masks — the President’s own advisors have told him — we could save 100,000 lives."
2020-10-22,BIDEN,Dem,"And we’re in a circumstance where the President, thus far, still has no plan."
2020-10-22,BIDEN,Dem,No comprehensive plan.
2020-10-22,BIDEN,Dem,"What I would do is make sure we have everyone encouraged to wear a mask, all the time."
2020-10-22,BIDEN,Dem,"I would make sure we move in the direction of rapid testing, investing in rapid testing."
2020-10-22,BIDEN,Dem,"I would make sure that we set up national standards as to how to open up schools and open up businesses so they can be safe, and give them the wherewithal and financial resources to be able to do that."
2020-10-22,BIDEN,Dem,"We’re in a situation now where the New England Medical Journal — one of the serious, most serious journals in the whole world — said for the first time ever that this, the way this President has responded to this crisis has been absolutely tragic."
2020-10-22,BIDEN,Dem,"And so folks, I will take care of this, I will end this, I will make sure we have a plan."
2020-10-22,TRUMP,Rep,"No, it’s not a guarantee but it will be by the end of the year, but I think it has a good chance."
2020-10-22,TRUMP,Rep,"There are two companies, I think, within a matter of weeks, and it will be distributed very quickly."
2020-10-22,TRUMP,Rep,Johnson and Johnson is doing very well.
2020-10-22,TRUMP,Rep,Moderna is doing very well.
2020-10-22,TRUMP,Rep,"Pfizer is doing very well, and we have numerous others."
2020-10-22,TRUMP,Rep,"And then we also have others that we’re working on very closely with other countries, in particular Europe."
2020-10-22,TRUMP,Rep,"No, I think my timeline is going to be more accurate."
2020-10-22,TRUMP,Rep,"I don’t know that they’re counting on the military the way I do, but we have our generals lined up, one in particular, that’s the head of logistics."
2020-10-22,TRUMP,Rep,And this is a very easy distribution for him.
2020-10-22,TRUMP,Rep,"He’s ready to go as soon as we have the vaccine, and we expect to have 100 million vials as soon as we have the vaccine, he’s ready to go."
2020-10-22,BIDEN,Dem,Make sure it’s totally transparent.
2020-10-22,BIDEN,Dem,"Have the scientific world see it, know it, look at it, go through all the processes."
2020-10-22,BIDEN,Dem,"And by the way, this is the same fellow who told you this is going to end by Easter last time."
2020-10-22,BIDEN,Dem,"This the same fellow who told you that, don’t worry, we’re going to end this by the summer."
2020-10-22,BIDEN,Dem,"We’re about to go into a dark winter, a dark winter, and he has no clear plan and there’s no prospect that there’s going to be a vaccine available for the majority of the American people before the middle of next year."
2020-10-22,TRUMP,Rep,I don’t think we’re going to have a dark winter at all.
2020-10-22,TRUMP,Rep,We’re opening up our country.
2020-10-22,TRUMP,Rep,"We’ve learned and studied and understand the disease, which we didn’t at the beginning."
2020-10-22,TRUMP,Rep,"When I closed and banned China from coming in heavily infected, and then ultimately Europe, but China was in January — months later he was saying I was xenophobic, I did it too soon."
2020-10-22,TRUMP,Rep,"Now he’s saying, ‘Oh, I should have, I should have, you know, moved quicker.’ But he didn’t move quicker; he was months behind me, many months behind me."
2020-10-22,TRUMP,Rep,"And frankly, he ran the H1N1 swine flu, and it was a total disaster."
2020-10-22,TRUMP,Rep,Far less lethal.
2020-10-22,TRUMP,Rep,But it was a total disaster.
2020-10-22,TRUMP,Rep,"Had that had this kind of numbers, 700,000 people would be dead right now, but it was a far less lethal disease."
2020-10-22,TRUMP,Rep,"Look, his own person who ran that for him who, as you know was his chief of staff, said ‘It was catastrophic, it was horrible, we didn’t know what we were doing.’ Now he comes up and he tells us how to do this."
2020-10-22,TRUMP,Rep,"Also everything that he said about the way — every single move that he said we should make — that’s what we’ve done, we’ve done all of it, but he was way behind us."
2020-10-22,BIDEN,Dem,"My responses is, he is xenophobic but not because he shut down access from China."
2020-10-22,BIDEN,Dem,"And he did it late, after 40 countries had already done that."
2020-10-22,BIDEN,Dem,"In addition to that, what he did, he made sure that we had 44 people that were in there, in China, trying to get to Wuhan to determine what exactly the source was."
2020-10-22,BIDEN,Dem,What did the President say in January?
2020-10-22,BIDEN,Dem,"He said no, he said, this is — he’s being transparent, the president of China is being transparent."
2020-10-22,BIDEN,Dem,We owe him a debt of gratitude.
2020-10-22,BIDEN,Dem,We have to thank him.
2020-10-22,BIDEN,Dem,"And then what happened was, we started talking about using the Defense Act, to make sure we go out and get whatever is needed out there to protect people."
2020-10-22,BIDEN,Dem,"And again, I go back to this, he had nothing."
2020-10-22,BIDEN,Dem,He did virtually nothing.
2020-10-22,BIDEN,Dem,"And then he gets out of the hospital, and he talks about we’re, this is, ‘Oh, don’t worry."
2020-10-22,BIDEN,Dem,"This is all going to be over soon.’ Come on, there’s not another serious scientist in the world who thinks it’s going to be over soon."
2020-10-22,TRUMP,Rep,I did not say over soon.
2020-10-22,TRUMP,Rep,I say we’re learning to live with it.
2020-10-22,TRUMP,Rep,We have no choice.
2020-10-22,TRUMP,Rep,We can’t lock ourselves up in a basement like Joe does.
2020-10-22,TRUMP,Rep,He has the ability to lock himself up.
2020-10-22,TRUMP,Rep,"I don’t know, he’s obviously made a lot of money, someplace, but he has this thing about living in a basement."
2020-10-22,TRUMP,Rep,People can’t do that.
2020-10-22,TRUMP,Rep,"By the way, I, as the president, couldn’t do that."
2020-10-22,TRUMP,Rep,I’d love to put myself in the basement or in a beautiful room in the White House and go away for a year and a half until it disappears.
2020-10-22,TRUMP,Rep,I can’t do that.
2020-10-22,TRUMP,Rep,"And Kristen — every, every meeting I had — every meeting I had — and I’d meet a lot of families, including Gold Star families and military families, every meeting I had — and I had to meet them, I had to, it would be horrible to have canceled everything."
2020-10-22,TRUMP,Rep,"I said, you know, this is dangerous."
2020-10-22,TRUMP,Rep,And you catch it.
2020-10-22,TRUMP,Rep,"And you know, I caught it."
2020-10-22,TRUMP,Rep,I learned a lot.
2020-10-22,TRUMP,Rep,"I learned a lot, great doctors, great hospitals."
2020-10-22,TRUMP,Rep,"And now, I recovered."
2020-10-22,TRUMP,Rep,99.9 of young people recover.
2020-10-22,TRUMP,Rep,99% of people recover.
2020-10-22,TRUMP,Rep,We have to recover.
2020-10-22,TRUMP,Rep,"We can’t close up our nation, we have to open our school, and we can’t close up our nation, or you’re not going to have a nation."
2020-10-22,BIDEN,Dem,Can I respond to that?
2020-10-22,BIDEN,Dem,"He says that we’re, you know, we’re learning to live with it."
2020-10-22,BIDEN,Dem,People are learning to die with it.
2020-10-22,BIDEN,Dem,You folks home will have an empty chair at the kitchen table this morning.
2020-10-22,BIDEN,Dem,"That man or wife going to bed tonight and reaching over to try to touch their, out of habit, where their wife or husband was, is gone."
2020-10-22,BIDEN,Dem,Learning to live with it?
2020-10-22,BIDEN,Dem,"We’re dying with it, because he’s never said — he said it’s dangerous."
2020-10-22,BIDEN,Dem,When’s the last time?
2020-10-22,BIDEN,Dem,"Is it really dangerous, still?"
2020-10-22,BIDEN,Dem,Are we dangerous?
2020-10-22,BIDEN,Dem,You tell the people it’s dangerous now?
2020-10-22,BIDEN,Dem,What should they do about the danger?
2020-10-22,BIDEN,Dem,"And you say, I take no responsibility."
2020-10-22,TRUMP,Rep,I take full responsibility.
2020-10-22,TRUMP,Rep,It’s not my fault that it came here.
2020-10-22,TRUMP,Rep,It’s China’s fault.
2020-10-22,TRUMP,Rep,"And you know what, it’s not Joe’s fault that it came here either."
