date,year,change_democrats,change_republicans,pre_democrats,pre_republicans,sample1,Immigration,ForeignPolicy,AbortionRights,incumbent_democrat,aggressive_words_d,aggressive_words_r,discriminatory_words_d,discriminatory_words_r,inflammatory_words_d,inflammatory_words_r,aggressive_words,inflammatory_words,discriminatory_words,debate_date
2008-10-07,2008,-1.0,-1.0,47.0,40.0,,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
2008-10-07,2008,6.0,2.0,46.0,39.0,,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
2008-10-07,2008,-4.0,0.0,52.0,41.0,838.0,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
2008-10-07,2008,3.0,0.0,48.0,41.0,,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
2008-10-07,2008,-1.0,4.0,51.0,41.0,3000.0,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
2008-10-07,2008,-2.0,-2.0,50.0,45.0,1200.0,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
2008-10-07,2008,3.0,0.0,48.0,43.0,800.0,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
2008-10-07,2008,2.0,0.0,51.0,43.0,766.0,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
2008-10-07,2008,2.0,0.0,51.0,43.0,766.0,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
2008-10-07,2008,-3.0,3.0,53.0,43.0,761.0,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
2008-10-07,2008,1.0,-4.0,50.0,46.0,1000.0,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
2008-10-07,2008,-2.0,0.0,51.0,42.0,1191.0,1,1,1,0.0,50.0,56.0,0.0,0.0,12.0,18.0,106.0,30.0,0.0,2008-10-07
