poll_id,debate_date,date,candidate,democratdum,republicandum,year,sample1,high_sample1,change_democrats,change_republicans,d_republicans,pre_democrats,pre_republicans,Immigration,ForeignPolicy,AbortionRights,aggressive,inflammatory,discriminatory,aggressive_d,aggressive_r,inflammatory_d,inflammatory_r,discriminatory_d,discriminatory_r
465.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,838.0,0.0,-4.0,0.0,0.0,52.0,41.0,1,1,1,98,30,6,48,50,12,18,2,4
467.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,3000.0,1.0,-1.0,4.0,0.0,51.0,41.0,1,1,1,98,30,6,48,50,12,18,2,4
468.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1200.0,1.0,-2.0,-2.0,0.0,50.0,45.0,1,1,1,98,30,6,48,50,12,18,2,4
469.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,800.0,0.0,3.0,0.0,0.0,48.0,43.0,1,1,1,98,30,6,48,50,12,18,2,4
470.0,2008-10-07,2008-10-07,MCCAIN,0.0,1.0,2008.0,766.0,0.0,2.0,0.0,1.1428566,51.0,43.0,1,1,1,98,30,6,48,50,12,18,2,4
470.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,766.0,0.0,2.0,0.0,1.1428566,51.0,43.0,1,1,1,98,30,6,48,50,12,18,2,4
471.0,2008-10-07,2008-10-07,MCCAIN,0.0,1.0,2008.0,761.0,0.0,-3.0,3.0,0.75,53.0,43.0,1,1,1,98,30,6,48,50,12,18,2,4
472.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1000.0,0.0,1.0,-4.0,0.0,50.0,46.0,1,1,1,98,30,6,48,50,12,18,2,4
473.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1191.0,1.0,-2.0,0.0,0.0,51.0,42.0,1,1,1,98,30,6,48,50,12,18,2,4
474.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1030.0,1.0,3.0,3.0,0.0,49.0,42.0,1,1,1,98,30,6,48,50,12,18,2,4
476.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,829.0,0.0,0.0,3.0,0.0,48.0,39.0,1,1,1,98,30,6,48,50,12,18,2,4
477.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,1208.0,1.0,1.0,1.0,0.0,48.0,42.0,1,1,1,98,30,6,48,50,12,18,2,4
478.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,884.0,0.0,-4.0,-1.0,0.0,49.0,43.0,1,1,1,98,30,6,48,50,12,18,2,4
