date,party,aggr_sup,infl_sup
2008-10-07,Dem,90,30
2008-10-07,Rep,114,38
2008-10-15,Dem,84,22
2008-10-15,Rep,184,30
2012-10-03,Dem,116,32
2012-10-03,Rep,200,42
2012-10-11,Dem,164,36
2012-10-11,Rep,126,86
2012-10-16,Dem,134,36
2012-10-16,Rep,188,58
2012-10-22,Dem,94,50
2012-10-22,Rep,158,80
2016-09-26,Dem,144,46
2016-09-26,Rep,186,48
2016-10-04,Dem,266,126
2016-10-04,Rep,170,100
2016-10-09,Dem,134,42
2016-10-09,Rep,228,38
2016-10-19,Dem,176,34
2016-10-19,Rep,200,50
2020-09-29,Dem,266,50
2020-09-29,Rep,312,78
2020-10-22,Dem,190,32
2020-10-22,Rep,246,54
2024-06-27,Dem,13,4
2024-06-27,Rep,25,9
2024-09-10,Dem,85,34
2024-09-10,Rep,104,38
