date,party,aggr_sup,infl_sup,disc_sup
2004-09-30,Dem,94,36,10
2004-09-30,Rep,75,37,4
2004-10-05,Dem,95,39,8
2004-10-05,Rep,37,32,4
2004-10-08,Dem,121,30,10
2004-10-08,Rep,101,32,9
2004-10-13,Dem,98,25,7
2004-10-13,Rep,49,22,8
2008-10-07,Dem,90,30,8
2008-10-07,Rep,114,38,18
2008-10-15,Dem,84,22,14
2008-10-15,Rep,184,30,40
2012-10-03,Dem,116,32,4
2012-10-03,Rep,200,42,16
2012-10-11,Dem,164,36,18
2012-10-11,Rep,126,86,30
2012-10-16,Dem,134,36,20
2012-10-16,Rep,188,58,52
2012-10-22,Dem,94,50,14
2012-10-22,Rep,158,80,30
2016-09-26,Dem,144,46,14
2016-09-26,Rep,186,48,46
2016-10-04,Dem,266,126,28
2016-10-04,Rep,170,100,48
2016-10-09,Dem,134,42,20
2016-10-09,Rep,228,38,54
2016-10-19,Dem,176,34,22
2016-10-19,Rep,200,50,58
2020-09-29,Dem,266,50,18
2020-09-29,Rep,312,78,18
2020-10-22,Dem,190,32,20
2020-10-22,Rep,246,54,36
2024-06-27,Dem,13,4,0
2024-06-27,Rep,25,9,2
2024-09-10,Dem,85,34,8
2024-09-10,Rep,104,38,30
